Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
5-510,"M: I am considering dropping my dancing class. I am not making any progress. W: If I were you, I stick with it. It's definitely worth time and effort.",What does the man suggest the woman do?,Consult her dancing teacher.,Take a more interesting class.,Continue her dancing class.,Continue her dancing class.
7-200,"W: Well, I'm afraid my cooking isn't to your taste. M: Actually, I like it very much. W: I'm glad you enjoy it. Let me serve you some more fish. M: No, thank you. I've had enough fish, but I'd like some soup. W: Here it is. Help yourself! M: Thanks. I didn't know you were so good at cooking. If only my wife could learn to cook from you. W: Why not bring your wife next time? I haven't seen her for quite a while. M: OK, I will. She will be very glad to see you, too. Thank you for the wonderful meal.",What does the man think of the woman's cooking?,It's really terrible.,It's very good indeed.,It's better than what he does.,It's very good indeed.
12-511,"M: Look at the girl on the bike! F: Oh, yes she's really a smart girl.",Where are the two persons?,At home,In their classroom,On the street,On the street
16-83,"M: Can you accompany me while I am singing. W: I don't play very well, but I will give it a try.",What does the man want the woman to do?,To play the piano.,To give a performance.,To sing a song.,To play the piano.
5-231,W: I can't figure out what's wrong with my watch. It was just a month ago that I had it repaired. M: Don't waste your time and money any more. It's very old watch and it is quite worn out.,What does the man mean?,It will take about one month to repair the watch.,The watch is no longer worth repairing.,It is a good idea to keep the old watch.,The watch is no longer worth repairing.
4-1534,"W: Hello, this is TBC Television Studios. How can I help you? M: Hello. I'm calling because I saw an ad in the campus newspaper. It said you wanted an assistant to work on your local news program. W: Right. But you do realize that we just need volunteers. It's an unpaid position. M: Oh, sure. I understand that. I just want to get some experience working for television news production after I get my degree. W: I see. Well, you'll need to talk to Ms. Black. She is in charge of the program. But first, you'll need to come here to fill out an application form. Can you drop by the studio later today?",Where does the woman work?,At a university.,At a TV station.,At a newspaper office.,At a TV station.
4-1402,M: I think it's going to rain. W: I guess so. The skies are dark and cloudy.,What is the weather like?,It's raining.,It's cloudy.,It's sunny.,It's cloudy.
4-627,"W: Front desk. Can I help you? M: Yeah, hi, this is Room 327. Is your dining room still open?",Where are the two speakers?,In a restaurant.,In a hotel.,In the street.,In a hotel.
4-274,"M: When did you first find the door broken and things missing? W: After I got up, around 5:20. Then I called the police station.",What are they talking about?,A traffic accident.,A fire.,A crime.,A crime.
12-120,"F: The lecture will start at three this afternoon, is that right? M: Well, the plan has changed. The lecture will begin at eight tomorrow morning.",What do you know about the lecture?,It will start at three this afternoon.,It will start at three tomorrow afternoon.,It will start at eight tomorrow morning.,It will start at eight tomorrow morning.
4-1369,"W: I wish I knew the times of the trains to London. But our phone's out of order. M: Don't worry, Grandma. I'll find out for you on the Internet. W: Thank you!",What is the man going to do?,Go on the Internet.,Make a phone call.,Take a train trip.,Go on the Internet.
4-693,"M: Would you turn off the alarm clock? W: Dear, but you said you had a meeting to attend at 8:40.",Will the woman turn off the clock?,Certainly.,Maybe.,No.,No.
11-226,"W: Peterson, shall we go and dance? M: OK. But wait a minute. I've just finished my homework, Let me put it in my desk first.",What has Peterson just finished?,He has just cleaned his desk.,He has just finished dancing with his friend.,He has just finished his homework.,He has just finished his homework.
