Story,Author,WorkTime,Article,OneOrMulti,Question,A,B,C,D,Answer
mc160.train.0,1844466225,2383,Tom had to fix some things around the house. He had to fix the door. He had to fix thewindow. But before he did anything he had to fix the toilet. Tom called over his bestfriend Jim to help him. Jim brought with him his friends Molly and Holly. Tom thought thatJim was going to bring Dolly with him but he didn't. The four of them got to work rightaway. Fixing the toilet was easy. Fixing the door was also easy but fixing the window wasvery hard. The window was stuck and could not be opened. They all pushed on the windowreally hard until finally it opened. Once the window was fixed the four of them made adelicious dinner and talked about all of the good work that they had done. Tom was gladthat he had such good friends to help him with his work.,multiple,What was the hardest thing for Tom and his friends to fix?,Door,House,Window,Toilet,Window
mc160.train.0,1844466225,2383,Tom had to fix some things around the house. He had to fix the door. He had to fix thewindow. But before he did anything he had to fix the toilet. Tom called over his bestfriend Jim to help him. Jim brought with him his friends Molly and Holly. Tom thought thatJim was going to bring Dolly with him but he didn't. The four of them got to work rightaway. Fixing the toilet was easy. Fixing the door was also easy but fixing the window wasvery hard. The window was stuck and could not be opened. They all pushed on the windowreally hard until finally it opened. Once the window was fixed the four of them made adelicious dinner and talked about all of the good work that they had done. Tom was gladthat he had such good friends to help him with his work.,one,What did Tom need to fix first?,Door,House,Window,Toilet,Toilet
mc160.train.0,1844466225,2383,Tom had to fix some things around the house. He had to fix the door. He had to fix thewindow. But before he did anything he had to fix the toilet. Tom called over his bestfriend Jim to help him. Jim brought with him his friends Molly and Holly. Tom thought thatJim was going to bring Dolly with him but he didn't. The four of them got to work rightaway. Fixing the toilet was easy. Fixing the door was also easy but fixing the window wasvery hard. The window was stuck and could not be opened. They all pushed on the windowreally hard until finally it opened. Once the window was fixed the four of them made adelicious dinner and talked about all of the good work that they had done. Tom was gladthat he had such good friends to help him with his work.,multiple,Jim didn't bring which person with him?,Jim,Dolly,Molly,Holly,Dolly
mc160.train.0,1844466225,2383,Tom had to fix some things around the house. He had to fix the door. He had to fix thewindow. But before he did anything he had to fix the toilet. Tom called over his bestfriend Jim to help him. Jim brought with him his friends Molly and Holly. Tom thought thatJim was going to bring Dolly with him but he didn't. The four of them got to work rightaway. Fixing the toilet was easy. Fixing the door was also easy but fixing the window wasvery hard. The window was stuck and could not be opened. They all pushed on the windowreally hard until finally it opened. Once the window was fixed the four of them made adelicious dinner and talked about all of the good work that they had done. Tom was gladthat he had such good friends to help him with his work.,one,Who was Tom's best friend?,Molly,Holly,Jim,Dolly,Jim
mc160.train.1,88979267,12668,"Lisa has a pet cat named Whiskers. Whiskers is black with a white spot on herchest. Whiskers also has white paws that look like little white mittens.Whiskers likes to sleep in the sun on her favorite chair. Whiskersalso likes to drink creamy milk.Lisa is excited because on Saturday, Whiskers turns two yearsold.After school on Friday, Lisa rushes to the pet store. She wants to buyWhiskers' birthday presents. Last year, she gave Whiskers a play mouseand a blue feather.For this birthday, Lisa is going to give Whiskers a red ball of yarnand a bowl with a picture of a cat on the side. The picture is of ablack cat. It looks a lot like Whiskers.",multiple,What day is Whisker's Birthday?,Today,Last year,Friday,Saturday,Saturday
mc160.train.1,88979267,12668,"Lisa has a pet cat named Whiskers. Whiskers is black with a white spot on herchest. Whiskers also has white paws that look like little white mittens.Whiskers likes to sleep in the sun on her favorite chair. Whiskersalso likes to drink creamy milk.Lisa is excited because on Saturday, Whiskers turns two yearsold.After school on Friday, Lisa rushes to the pet store. She wants to buyWhiskers' birthday presents. Last year, she gave Whiskers a play mouseand a blue feather.For this birthday, Lisa is going to give Whiskers a red ball of yarnand a bowl with a picture of a cat on the side. The picture is of ablack cat. It looks a lot like Whiskers.",multiple,What does Whiskers like to do?,Sleep in the sun and drink creamy milk,Play,Drink,Sleep,Sleep in the sun and drink creamy milk
mc160.train.1,88979267,12668,"Lisa has a pet cat named Whiskers. Whiskers is black with a white spot on herchest. Whiskers also has white paws that look like little white mittens.Whiskers likes to sleep in the sun on her favorite chair. Whiskersalso likes to drink creamy milk.Lisa is excited because on Saturday, Whiskers turns two yearsold.After school on Friday, Lisa rushes to the pet store. She wants to buyWhiskers' birthday presents. Last year, she gave Whiskers a play mouseand a blue feather.For this birthday, Lisa is going to give Whiskers a red ball of yarnand a bowl with a picture of a cat on the side. The picture is of ablack cat. It looks a lot like Whiskers.",multiple,What color is Whiskers?,All white with a black spot,White,Black,Black with white paws and a white spot,Black with white paws and a white spot
mc160.train.1,88979267,12668,"Lisa has a pet cat named Whiskers. Whiskers is black with a white spot on herchest. Whiskers also has white paws that look like little white mittens.Whiskers likes to sleep in the sun on her favorite chair. Whiskersalso likes to drink creamy milk.Lisa is excited because on Saturday, Whiskers turns two yearsold.After school on Friday, Lisa rushes to the pet store. She wants to buyWhiskers' birthday presents. Last year, she gave Whiskers a play mouseand a blue feather.For this birthday, Lisa is going to give Whiskers a red ball of yarnand a bowl with a picture of a cat on the side. The picture is of ablack cat. It looks a lot like Whiskers.",multiple,What does Lisa buy for Whiskers for this birthday?,A bowl with a cat on it,A play mouse,A red ball of yarn and a bowl with a cat on it,A blue feather,A red ball of yarn and a bowl with a cat on it
mc160.train.2,2176065621,3696,"Hawthorne rolled over in bed and looked around the room.  He let out a breath.His eyes were half-closed as he shoved the covers back from his bed, and movedtowards the door.  He knew that he had to check on Kate, if he did nothing else. She wasill, with a heart problem, and he worried about her all the time.They both lived in a home for orphans, and he had since his parents had died, when he wasthe age of four. He had taken care of Kate as if she were his sister ever since. Hewandered to her room sitting himself by her on her bed, shoving her hair from herface.She moved on the bed as he pulled her into his arms, ""Kate."" He said into her ear, ""It'stime to wake up."" He pressed a kiss to her head, and her eyes opened.""Hawthy?"" She said, her nickname for him moving from her lips.""Yea."" He moved her hair.""I want to go outside today,"" she said, and he nodded in response.""If you are up to it, I won't stop you"", he told her, and she smiled.""Thanks Hawthy"", she said.It wasn't long until she fell back to sleep.",multiple,Where do the main characters live?,A home for orphans.,A house.,An Apartment.,A trailer park.,A home for orphans.
mc160.train.2,2176065621,3696,"Hawthorne rolled over in bed and looked around the room.  He let out a breath.His eyes were half-closed as he shoved the covers back from his bed, and movedtowards the door.  He knew that he had to check on Kate, if he did nothing else. She wasill, with a heart problem, and he worried about her all the time.They both lived in a home for orphans, and he had since his parents had died, when he wasthe age of four. He had taken care of Kate as if she were his sister ever since. Hewandered to her room sitting himself by her on her bed, shoving her hair from herface.She moved on the bed as he pulled her into his arms, ""Kate."" He said into her ear, ""It'stime to wake up."" He pressed a kiss to her head, and her eyes opened.""Hawthy?"" She said, her nickname for him moving from her lips.""Yea."" He moved her hair.""I want to go outside today,"" she said, and he nodded in response.""If you are up to it, I won't stop you"", he told her, and she smiled.""Thanks Hawthy"", she said.It wasn't long until she fell back to sleep.",one,What is the girl's name?,Patty,Katerina,Kate,Katherine,Kate
